,model_name,similarity
0,w2v_w2_d10.mdl,"{'homer': {'map': 0.09, 'ndcg': 0.32673486969856097}}"
1,w2v_w2_d20.mdl,"{'homer': {'map': 0.2, 'ndcg': 0.5232033178513957}}"
2,w2v_w2_d30.mdl,"{'homer': {'map': 0.1, 'ndcg': 0.33371032311622284}}"
3,w2v_w2_d40.mdl,"{'homer': {'map': 0.12857142857142856, 'ndcg': 0.43382342005108965}}"
4,w2v_w2_d50.mdl,"{'homer': {'map': 0.13999999999999999, 'ndcg': 0.4498974208868139}}"
5,w2v_w2_d60.mdl,"{'homer': {'map': 0.13333333333333333, 'ndcg': 0.44069333707174785}}"
6,w2v_w2_d70.mdl,"{'homer': {'map': 0.15833333333333333, 'ndcg': 0.45859386562001997}}"
7,w2v_w2_d80.mdl,"{'homer': {'map': 0.19, 'ndcg': 0.4794223696619449}}"
8,w2v_w2_d90.mdl,"{'homer': {'map': 0.2, 'ndcg': 0.3968746546946138}}"
9,w2v_w2_d100.mdl,"{'homer': {'map': 0.2, 'ndcg': 0.3968746546946138}}"
10,w2v_w2_d200.mdl,"{'homer': {'map': 0.2, 'ndcg': 0.3968746546946138}}"
11,w2v_w2_d300.mdl,"{'homer': {'map': 0.2, 'ndcg': 0.3968746546946138}}"
12,w2v_w2_d400.mdl,"{'homer': {'map': 0.2, 'ndcg': 0.3968746546946138}}"
13,w2v_w2_d500.mdl,"{'homer': {'map': 0.2, 'ndcg': 0.3968746546946138}}"
14,w2v_w3_d10.mdl,"{'homer': {'map': 0.14666666666666667, 'ndcg': 0.40191025112970535}}"
15,w2v_w3_d20.mdl,"{'homer': {'map': 0.22999999999999998, 'ndcg': 0.5617888844882266}}"
16,w2v_w3_d30.mdl,"{'homer': {'map': 0.07222222222222222, 'ndcg': 0.2899498118558752}}"
17,w2v_w3_d40.mdl,"{'homer': {'map': 0.21000000000000002, 'ndcg': 0.48692455144655916}}"
18,w2v_w3_d50.mdl,"{'homer': {'map': 0.19999999999999998, 'ndcg': 0.524062695366804}}"
19,w2v_w3_d60.mdl,"{'homer': {'map': 0.19666666666666666, 'ndcg': 0.4768408440219197}}"
20,w2v_w3_d70.mdl,"{'homer': {'map': 0.28194444444444444, 'ndcg': 0.5648311653526614}}"
21,w2v_w3_d80.mdl,"{'homer': {'map': 0.05, 'ndcg': 0.18949299473517292}}"
22,w2v_w3_d90.mdl,"{'homer': {'map': 0.05, 'ndcg': 0.18949299473517292}}"
23,w2v_w3_d100.mdl,"{'homer': {'map': 0.05, 'ndcg': 0.18949299473517292}}"
24,w2v_w3_d200.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.15016964540230027}}"
25,w2v_w3_d300.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.15016964540230027}}"
26,w2v_w3_d400.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.15016964540230027}}"
27,w2v_w3_d500.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.15016964540230027}}"
28,w2v_w4_d10.mdl,"{'homer': {'map': 0.0125, 'ndcg': 0.10527388596398496}}"
29,w2v_w4_d20.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
30,w2v_w4_d30.mdl,"{'homer': {'map': 0.05, 'ndcg': 0.06316433157839098}}"
31,w2v_w4_d40.mdl,"{'homer': {'map': 0.06666666666666667, 'ndcg': 0.11908858543089738}}"
32,w2v_w4_d50.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
33,w2v_w4_d60.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
34,w2v_w4_d70.mdl,"{'homer': {'map': 0.0, 'ndcg': 0.0}}"
35,w2v_w4_d80.mdl,"{'homer': {'map': 0.016666666666666666, 'ndcg': 0.05943500775306946}}"
36,w2v_w4_d90.mdl,"{'homer': {'map': 0.0125, 'ndcg': 0.010527388596398497}}"
