,model_name,similarity
0,w2v_w2_d10.mdl,"{'homer': {'map': 0.01111111111111111, 'ndcg': 0.10045681712070233}}"
1,w2v_w2_d20.mdl,"{'homer': {'map': 0.034722222222222224, 'ndcg': 0.1952033144882888}}"
2,w2v_w2_d30.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.09646391659207718}}"
3,w2v_w2_d40.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.09646391659207718}}"
4,w2v_w2_d50.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.09646391659207718}}"
5,w2v_w2_d60.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.09646391659207718}}"
6,w2v_w2_d70.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.09646391659207718}}"
7,w2v_w2_d80.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.09646391659207718}}"
8,w2v_w2_d90.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.09646391659207718}}"
9,w2v_w2_d100.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.09646391659207718}}"
10,w2v_w2_d200.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.09646391659207718}}"
11,w2v_w2_d300.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.09646391659207718}}"
12,w2v_w2_d400.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.09646391659207718}}"
13,w2v_w2_d500.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.09646391659207718}}"
14,w2v_w3_d10.mdl,"{'homer': {'map': 0.08666666666666667, 'ndcg': 0.2750562466649111}}"
15,w2v_w3_d20.mdl,"{'homer': {'map': 0.05333333333333333, 'ndcg': 0.24663356199437744}}"
16,w2v_w3_d30.mdl,"{'homer': {'map': 0.02, 'ndcg': 0.12909677530065675}}"
17,w2v_w3_d40.mdl,"{'homer': {'map': 0.039285714285714285, 'ndcg': 0.2053869828988518}}"
18,w2v_w3_d50.mdl,"{'homer': {'map': 0.01, 'ndcg': 0.09646391659207718}}"
19,w2v_w3_d60.mdl,"{'homer': {'map': 0.0125, 'ndcg': 0.10527388596398496}}"
20,w2v_w3_d70.mdl,"{'homer': {'map': 0.075, 'ndcg': 0.2947668806991579}}"
21,w2v_w3_d80.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.15016964540230027}}"
22,w2v_w3_d90.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.15016964540230027}}"
23,w2v_w3_d100.mdl,"{'homer': {'map': 0.03333333333333333, 'ndcg': 0.15016964540230027}}"
24,w2v_w3_d200.mdl,"{'homer': {'map': 0.02, 'ndcg': 0.11618709777059107}}"
25,w2v_w3_d300.mdl,"{'homer': {'map': 0.014285714285714285, 'ndcg': 0.10011309693486685}}"
